知识点ID,场景一级,场景二级,类型,内容,英文,难度,分类标签,创建时间
KB00001,社交,日常社交,单词,你好,hello,beginner,"社交,日常社交,单词",2026-01-25
KB00002,社交,日常社交,单词,你好,hi,beginner,"社交,日常社交,单词",2026-01-25
KB00003,社交,日常社交,单词,再见,goodbye,beginner,"社交,日常社交,单词",2026-01-25
KB00004,社交,日常社交,单词,再见,bye,beginner,"社交,日常社交,单词",2026-01-25
KB00005,社交,日常社交,单词,是,yes,beginner,"社交,日常社交,单词",2026-01-25
KB00006,社交,日常社交,单词,不,no,beginner,"社交,日常社交,单词",2026-01-25
KB00007,社交,日常社交,单词,请,please,beginner,"社交,日常社交,单词",2026-01-25
KB00008,社交,日常社交,单词,谢谢,thank you,beginner,"社交,日常社交,单词",2026-01-25
KB00009,社交,日常社交,单词,谢谢,thanks,beginner,"社交,日常社交,单词",2026-01-25
KB00010,社交,日常社交,单词,对不起,sorry,beginner,"社交,日常社交,单词",2026-01-25
KB00011,社交,日常社交,单词,好的,good,beginner,"社交,日常社交,单词",2026-01-25
KB00012,社交,日常社交,单词,坏的,bad,beginner,"社交,日常社交,单词",2026-01-25
KB00013,社交,日常社交,单词,大的,big,beginner,"社交,日常社交,单词",2026-01-25
KB00014,社交,日常社交,单词,小的,small,beginner,"社交,日常社交,单词",2026-01-25
KB00015,社交,日常社交,单词,新的,new,beginner,"社交,日常社交,单词",2026-01-25
KB00016,社交,日常社交,单词,旧的,old,beginner,"社交,日常社交,单词",2026-01-25
KB00017,社交,日常社交,单词,热的,hot,beginner,"社交,日常社交,单词",2026-01-25
KB00018,社交,日常社交,单词,冷的,cold,beginner,"社交,日常社交,单词",2026-01-25
KB00019,社交,日常社交,单词,高兴的,happy,beginner,"社交,日常社交,单词",2026-01-25
KB00020,社交,日常社交,单词,悲伤的,sad,beginner,"社交,日常社交,单词",2026-01-25
KB00021,社交,日常社交,单词,我,I,beginner,"社交,日常社交,单词",2026-01-25
KB00022,社交,日常社交,单词,你,you,beginner,"社交,日常社交,单词",2026-01-25
KB00023,社交,日常社交,单词,他,he,beginner,"社交,日常社交,单词",2026-01-25
KB00024,社交,日常社交,单词,她,she,beginner,"社交,日常社交,单词",2026-01-25
KB00025,社交,日常社交,单词,我们,we,beginner,"社交,日常社交,单词",2026-01-25
KB00026,社交,日常社交,单词,他们,they,beginner,"社交,日常社交,单词",2026-01-25
KB00027,社交,日常社交,单词,这个,this,beginner,"社交,日常社交,单词",2026-01-25
KB00028,社交,日常社交,单词,那个,that,beginner,"社交,日常社交,单词",2026-01-25
KB00029,社交,日常社交,单词,这里,here,beginner,"社交,日常社交,单词",2026-01-25
KB00030,社交,日常社交,单词,那里,there,beginner,"社交,日常社交,单词",2026-01-25
KB00031,社交,日常社交,单词,什么,what,beginner,"社交,日常社交,单词",2026-01-25
KB00032,社交,日常社交,单词,谁,who,beginner,"社交,日常社交,单词",2026-01-25
KB00033,社交,日常社交,单词,哪里,where,beginner,"社交,日常社交,单词",2026-01-25
KB00034,社交,日常社交,单词,什么时候,when,beginner,"社交,日常社交,单词",2026-01-25
KB00035,社交,日常社交,单词,为什么,why,beginner,"社交,日常社交,单词",2026-01-25
KB00036,社交,日常社交,单词,怎么,how,beginner,"社交,日常社交,单词",2026-01-25
KB00037,社交,日常社交,单词,名字,name,beginner,"社交,日常社交,单词",2026-01-25
KB00038,社交,日常社交,单词,年龄,age,beginner,"社交,日常社交,单词",2026-01-25
KB00039,工作,商务会议,单词,工作,job,beginner,"工作,商务会议,单词",2026-01-25
KB00040,工作,商务会议,单词,工作,work,beginner,"工作,商务会议,单词",2026-01-25
KB00041,生活,饮食烹饪,单词,吃,eat,beginner,"生活,饮食烹饪,单词",2026-01-25
KB00042,生活,饮食烹饪,单词,喝,drink,beginner,"生活,饮食烹饪,单词",2026-01-25
KB00043,社交,日常社交,单词,睡觉,sleep,beginner,"社交,日常社交,单词",2026-01-25
KB00044,社交,日常社交,单词,去,go,beginner,"社交,日常社交,单词",2026-01-25
KB00045,社交,日常社交,单词,来,come,beginner,"社交,日常社交,单词",2026-01-25
KB00046,社交,日常社交,单词,看,see,beginner,"社交,日常社交,单词",2026-01-25
KB00047,社交,日常社交,单词,知道,know,beginner,"社交,日常社交,单词",2026-01-25
KB00048,社交,日常社交,单词,想,think,beginner,"社交,日常社交,单词",2026-01-25
KB00049,社交,日常社交,单词,想要,want,beginner,"社交,日常社交,单词",2026-01-25
KB00050,娱乐,兴趣爱好,单词,喜欢,like,beginner,"娱乐,兴趣爱好,单词",2026-01-25
KB00051,生活,家居生活,单词,房子,house,beginner,"生活,家居生活,单词",2026-01-25
KB00052,生活,家居生活,单词,家,home,beginner,"生活,家居生活,单词",2026-01-25
KB00053,生活,家居生活,单词,房间,room,beginner,"生活,家居生活,单词",2026-01-25
KB00054,生活,家居生活,单词,门,door,beginner,"生活,家居生活,单词",2026-01-25
KB00055,生活,家居生活,单词,窗户,window,beginner,"生活,家居生活,单词",2026-01-25
KB00056,生活,家居生活,单词,桌子,table,beginner,"生活,家居生活,单词",2026-01-25
KB00057,生活,家居生活,单词,椅子,chair,beginner,"生活,家居生活,单词",2026-01-25
KB00058,生活,家居生活,单词,床,bed,beginner,"生活,家居生活,单词",2026-01-25
KB00059,娱乐,阅读写作,单词,书,book,beginner,"娱乐,阅读写作,单词",2026-01-25
KB00060,社交,日常社交,单词,笔,pen,beginner,"社交,日常社交,单词",2026-01-25
KB00061,旅行,交通出行,单词,汽车,car,beginner,"旅行,交通出行,单词",2026-01-25
KB00062,旅行,交通出行,单词,公交车,bus,beginner,"旅行,交通出行,单词",2026-01-25
KB00063,旅行,交通出行,单词,火车,train,beginner,"旅行,交通出行,单词",2026-01-25
KB00064,旅行,交通出行,单词,飞机,plane,beginner,"旅行,交通出行,单词",2026-01-25
KB00065,社交,日常社交,单词,自行车,bike,beginner,"社交,日常社交,单词",2026-01-25
KB00066,社交,日常社交,单词,walk,walk,beginner,"社交,日常社交,单词",2026-01-25
KB00067,社交,日常社交,单词,run,run,beginner,"社交,日常社交,单词",2026-01-25
KB00068,社交,日常社交,单词,sit,sit,beginner,"社交,日常社交,单词",2026-01-25
KB00069,社交,日常社交,单词,stand,stand,beginner,"社交,日常社交,单词",2026-01-25
KB00070,社交,日常社交,单词,open,open,beginner,"社交,日常社交,单词",2026-01-25
KB00071,社交,日常社交,单词,close,close,beginner,"社交,日常社交,单词",2026-01-25
KB00072,娱乐,阅读写作,单词,读,read,beginner,"娱乐,阅读写作,单词",2026-01-25
KB00073,娱乐,阅读写作,单词,写,write,beginner,"娱乐,阅读写作,单词",2026-01-25
KB00074,社交,日常社交,单词,说,speak,beginner,"社交,日常社交,单词",2026-01-25
KB00075,娱乐,电影音乐,单词,听,listen,beginner,"娱乐,电影音乐,单词",2026-01-25
KB00076,娱乐,电影音乐,单词,看,watch,beginner,"娱乐,电影音乐,单词",2026-01-25
KB00077,娱乐,游戏娱乐,单词,玩,play,beginner,"娱乐,游戏娱乐,单词",2026-01-25
KB00078,生活,日常购物,单词,买,buy,beginner,"生活,日常购物,单词",2026-01-25
KB00079,生活,日常购物,单词,卖,sell,beginner,"生活,日常购物,单词",2026-01-25
KB00080,社交,日常社交,单词,给,give,beginner,"社交,日常社交,单词",2026-01-25
KB00081,社交,日常社交,单词,拿,take,beginner,"社交,日常社交,单词",2026-01-25
KB00082,社交,日常社交,单词,得到,get,beginner,"社交,日常社交,单词",2026-01-25
KB00083,社交,日常社交,单词,放,put,beginner,"社交,日常社交,单词",2026-01-25
KB00084,社交,日常社交,单词,做,make,beginner,"社交,日常社交,单词",2026-01-25
KB00085,社交,日常社交,单词,做,do,beginner,"社交,日常社交,单词",2026-01-25
KB00086,社交,日常社交,单词,有,have,beginner,"社交,日常社交,单词",2026-01-25
KB00087,社交,日常社交,单词,是,be,beginner,"社交,日常社交,单词",2026-01-25
KB00088,社交,日常社交,单词,am,am,beginner,"社交,日常社交,单词",2026-01-25
KB00089,社交,日常社交,单词,is,is,beginner,"社交,日常社交,单词",2026-01-25
KB00090,社交,日常社交,单词,are,are,beginner,"社交,日常社交,单词",2026-01-25
KB00091,社交,日常社交,单词,天,day,beginner,"社交,日常社交,单词",2026-01-25
KB00092,社交,日常社交,单词,夜晚,night,beginner,"社交,日常社交,单词",2026-01-25
KB00093,社交,日常社交,单词,早上,morning,beginner,"社交,日常社交,单词",2026-01-25
KB00094,社交,日常社交,单词,下午,afternoon,beginner,"社交,日常社交,单词",2026-01-25
KB00095,社交,日常社交,单词,晚上,evening,beginner,"社交,日常社交,单词",2026-01-25
KB00096,社交,日常社交,单词,今天,today,beginner,"社交,日常社交,单词",2026-01-25
KB00097,社交,日常社交,单词,明天,tomorrow,beginner,"社交,日常社交,单词",2026-01-25
KB00098,社交,日常社交,单词,昨天,yesterday,beginner,"社交,日常社交,单词",2026-01-25
KB00099,社交,日常社交,单词,周,week,beginner,"社交,日常社交,单词",2026-01-25
KB00100,社交,日常社交,单词,月,month,beginner,"社交,日常社交,单词",2026-01-25
KB00101,社交,日常社交,单词,年,year,beginner,"社交,日常社交,单词",2026-01-25
KB00102,社交,日常社交,单词,时间,time,beginner,"社交,日常社交,单词",2026-01-25
KB00103,社交,日常社交,单词,小时,hour,beginner,"社交,日常社交,单词",2026-01-25
KB00104,社交,日常社交,单词,分钟,minute,beginner,"社交,日常社交,单词",2026-01-25
KB00105,社交,日常社交,单词,现在,now,beginner,"社交,日常社交,单词",2026-01-25
KB00106,社交,日常社交,单词,然后,then,beginner,"社交,日常社交,单词",2026-01-25
KB00107,社交,日常社交,单词,之前,before,beginner,"社交,日常社交,单词",2026-01-25
KB00108,社交,日常社交,单词,之后,after,beginner,"社交,日常社交,单词",2026-01-25
KB00109,社交,日常社交,单词,今天,today,beginner,"社交,日常社交,单词",2026-01-25
KB00110,社交,日常社交,单词,现在,now,beginner,"社交,日常社交,单词",2026-01-25
KB00111,社交,日常社交,单词,精彩的,wonderful,elementary,"社交,日常社交,单词",2026-01-25
KB00112,娱乐,兴趣爱好,单词,有趣的,interesting,elementary,"娱乐,兴趣爱好,单词",2026-01-25
KB00113,社交,日常社交,单词,美丽的,beautiful,elementary,"社交,日常社交,单词",2026-01-25
KB00114,社交,日常社交,单词,好的,nice,elementary,"社交,日常社交,单词",2026-01-25
KB00115,生活,饮食烹饪,单词,伟大的,great,elementary,"生活,饮食烹饪,单词",2026-01-25
KB00116,社交,日常社交,单词,优秀的,excellent,elementary,"社交,日常社交,单词",2026-01-25
KB00117,社交,日常社交,单词,好的,fine,elementary,"社交,日常社交,单词",2026-01-25
KB00118,社交,日常社交,单词,好的,okay,elementary,"社交,日常社交,单词",2026-01-25
KB00119,社交,日常社交,单词,也许,maybe,elementary,"社交,日常社交,单词",2026-01-25
KB00120,社交,日常社交,单词,也许,perhaps,elementary,"社交,日常社交,单词",2026-01-25
KB00121,社交,日常社交,单词,朋友,friend,elementary,"社交,日常社交,单词",2026-01-25
KB00122,生活,家庭关系,单词,家庭,family,elementary,"生活,家庭关系,单词",2026-01-25
KB00123,生活,家庭关系,单词,父母,parent,elementary,"生活,家庭关系,单词",2026-01-25
KB00124,生活,家庭关系,单词,孩子,child,elementary,"生活,家庭关系,单词",2026-01-25
KB00125,生活,家庭关系,单词,兄弟,brother,elementary,"生活,家庭关系,单词",2026-01-25
KB00126,生活,家庭关系,单词,姐妹,sister,elementary,"生活,家庭关系,单词",2026-01-25
KB00127,生活,家庭关系,单词,母亲,mother,elementary,"生活,家庭关系,单词",2026-01-25
KB00128,生活,家庭关系,单词,父亲,father,elementary,"生活,家庭关系,单词",2026-01-25
KB00129,生活,家庭关系,单词,儿子,son,elementary,"生活,家庭关系,单词",2026-01-25
KB00130,生活,家庭关系,单词,女儿,daughter,elementary,"生活,家庭关系,单词",2026-01-25
KB00131,学习,学校课程,单词,学校,school,elementary,"学习,学校课程,单词",2026-01-25
KB00132,学习,学校课程,单词,学生,student,elementary,"学习,学校课程,单词",2026-01-25
KB00133,生活,饮食烹饪,单词,老师,teacher,elementary,"生活,饮食烹饪,单词",2026-01-25
KB00134,学习,学校课程,单词,班级,class,elementary,"学习,学校课程,单词",2026-01-25
KB00135,生活,家庭关系,单词,课程,lesson,elementary,"生活,家庭关系,单词",2026-01-25
KB00136,学习,学校课程,单词,学习,study,elementary,"学习,学校课程,单词",2026-01-25
KB00137,学习,学校课程,单词,学习,learn,elementary,"学习,学校课程,单词",2026-01-25
KB00138,生活,饮食烹饪,单词,教,teach,elementary,"生活,饮食烹饪,单词",2026-01-25
KB00139,学习,考试准备,单词,测试,test,elementary,"学习,考试准备,单词",2026-01-25
KB00140,学习,考试准备,单词,考试,exam,elementary,"学习,考试准备,单词",2026-01-25
KB00141,生活,饮食烹饪,单词,食物,food,elementary,"生活,饮食烹饪,单词",2026-01-25
KB00142,生活,饮食烹饪,单词,早餐,breakfast,elementary,"生活,饮食烹饪,单词",2026-01-25
KB00143,生活,饮食烹饪,单词,午餐,lunch,elementary,"生活,饮食烹饪,单词",2026-01-25
KB00144,生活,饮食烹饪,单词,晚餐,dinner,elementary,"生活,饮食烹饪,单词",2026-01-25
KB00145,社交,日常社交,单词,水,water,elementary,"社交,日常社交,单词",2026-01-25
KB00146,生活,饮食烹饪,单词,咖啡,coffee,elementary,"生活,饮食烹饪,单词",2026-01-25
KB00147,生活,饮食烹饪,单词,茶,tea,elementary,"生活,饮食烹饪,单词",2026-01-25
KB00148,生活,饮食烹饪,单词,牛奶,milk,elementary,"生活,饮食烹饪,单词",2026-01-25
KB00149,生活,饮食烹饪,单词,面包,bread,elementary,"生活,饮食烹饪,单词",2026-01-25
KB00150,生活,饮食烹饪,单词,米饭,rice,elementary,"生活,饮食烹饪,单词",2026-01-25
KB00151,生活,饮食烹饪,单词,餐厅,restaurant,elementary,"生活,饮食烹饪,单词",2026-01-25
KB00152,生活,日常购物,单词,商店,shop,elementary,"生活,日常购物,单词",2026-01-25
KB00153,生活,日常购物,单词,商店,store,elementary,"生活,日常购物,单词",2026-01-25
KB00154,生活,日常购物,单词,市场,market,elementary,"生活,日常购物,单词",2026-01-25
KB00155,生活,日常购物,单词,买,buy,elementary,"生活,日常购物,单词",2026-01-25
KB00156,生活,日常购物,单词,卖,sell,elementary,"生活,日常购物,单词",2026-01-25
KB00157,生活,日常购物,单词,价格,price,elementary,"生活,日常购物,单词",2026-01-25
KB00158,生活,日常购物,单词,钱,money,elementary,"生活,日常购物,单词",2026-01-25
KB00159,生活,日常购物,单词,便宜的,cheap,elementary,"生活,日常购物,单词",2026-01-25
KB00160,生活,日常购物,单词,贵的,expensive,elementary,"生活,日常购物,单词",2026-01-25
KB00161,生活,饮食烹饪,单词,天气,weather,elementary,"生活,饮食烹饪,单词",2026-01-25
KB00162,社交,日常社交,单词,晴朗的,sunny,elementary,"社交,日常社交,单词",2026-01-25
KB00163,社交,日常社交,单词,下雨的,rainy,elementary,"社交,日常社交,单词",2026-01-25
KB00164,社交,日常社交,单词,多云的,cloudy,elementary,"社交,日常社交,单词",2026-01-25
KB00165,社交,日常社交,单词,有风的,windy,elementary,"社交,日常社交,单词",2026-01-25
KB00166,社交,日常社交,单词,雪,snow,elementary,"社交,日常社交,单词",2026-01-25
KB00167,社交,日常社交,单词,雨,rain,elementary,"社交,日常社交,单词",2026-01-25
KB00168,社交,日常社交,单词,太阳,sun,elementary,"社交,日常社交,单词",2026-01-25
KB00169,社交,日常社交,单词,云,cloud,elementary,"社交,日常社交,单词",2026-01-25
KB00170,社交,日常社交,单词,风,wind,elementary,"社交,日常社交,单词",2026-01-25
KB00171,社交,日常社交,单词,衣服,clothes,elementary,"社交,日常社交,单词",2026-01-25
KB00172,社交,日常社交,单词,衬衫,shirt,elementary,"社交,日常社交,单词",2026-01-25
KB00173,社交,日常社交,单词,裤子,pants,elementary,"社交,日常社交,单词",2026-01-25
KB00174,社交,日常社交,单词,鞋子,shoes,elementary,"社交,日常社交,单词",2026-01-25
KB00175,社交,日常社交,单词,帽子,hat,elementary,"社交,日常社交,单词",2026-01-25
KB00176,社交,日常社交,单词,裙子,dress,elementary,"社交,日常社交,单词",2026-01-25
KB00177,社交,日常社交,单词,夹克,jacket,elementary,"社交,日常社交,单词",2026-01-25
KB00178,社交,日常社交,单词,外套,coat,elementary,"社交,日常社交,单词",2026-01-25
KB00179,社交,日常社交,单词,穿,wear,elementary,"社交,日常社交,单词",2026-01-25
KB00180,社交,日常社交,单词,穿上,put on,elementary,"社交,日常社交,单词",2026-01-25
KB00181,娱乐,兴趣爱好,单词,爱好,hobby,elementary,"娱乐,兴趣爱好,单词",2026-01-25
KB00182,娱乐,运动健身,单词,运动,sport,elementary,"娱乐,运动健身,单词",2026-01-25
KB00183,娱乐,运动健身,单词,足球,football,elementary,"娱乐,运动健身,单词",2026-01-25
KB00184,娱乐,运动健身,单词,篮球,basketball,elementary,"娱乐,运动健身,单词",2026-01-25
KB00185,娱乐,运动健身,单词,游泳,swim,elementary,"娱乐,运动健身,单词",2026-01-25
KB00186,娱乐,运动健身,单词,跳舞,dance,elementary,"娱乐,运动健身,单词",2026-01-25
KB00187,社交,日常社交,单词,唱歌,sing,elementary,"社交,日常社交,单词",2026-01-25
KB00188,娱乐,电影音乐,单词,音乐,music,elementary,"娱乐,电影音乐,单词",2026-01-25
KB00189,娱乐,电影音乐,单词,电影,movie,elementary,"娱乐,电影音乐,单词",2026-01-25
KB00190,娱乐,电影音乐,单词,电影,film,elementary,"娱乐,电影音乐,单词",2026-01-25
KB00191,旅行,交通出行,单词,travel,travel,elementary,"旅行,交通出行,单词",2026-01-25
KB00192,旅行,交通出行,单词,旅行,trip,elementary,"旅行,交通出行,单词",2026-01-25
KB00193,旅行,交通出行,单词,假期,vacation,elementary,"旅行,交通出行,单词",2026-01-25
KB00194,旅行,交通出行,单词,假期,holiday,elementary,"旅行,交通出行,单词",2026-01-25
KB00195,旅行,酒店住宿,单词,酒店,hotel,elementary,"旅行,酒店住宿,单词",2026-01-25
KB00196,旅行,交通出行,单词,机场,airport,elementary,"旅行,交通出行,单词",2026-01-25
KB00197,旅行,交通出行,单词,车站,station,elementary,"旅行,交通出行,单词",2026-01-25
KB00198,旅行,交通出行,单词,票,ticket,elementary,"旅行,交通出行,单词",2026-01-25
KB00199,旅行,交通出行,单词,护照,passport,elementary,"旅行,交通出行,单词",2026-01-25
KB00200,旅行,交通出行,单词,行李,luggage,elementary,"旅行,交通出行,单词",2026-01-25
KB00201,生活,健康医疗,单词,感觉,feel,elementary,"生活,健康医疗,单词",2026-01-25
KB00202,生活,健康医疗,单词,累的,tired,elementary,"生活,健康医疗,单词",2026-01-25
KB00203,生活,健康医疗,单词,饿的,hungry,elementary,"生活,健康医疗,单词",2026-01-25
KB00204,生活,健康医疗,单词,渴的,thirsty,elementary,"生活,健康医疗,单词",2026-01-25
KB00205,生活,健康医疗,单词,生病的,sick,elementary,"生活,健康医疗,单词",2026-01-25
KB00206,生活,健康医疗,单词,健康的,healthy,elementary,"生活,健康医疗,单词",2026-01-25
KB00207,社交,日常社交,单词,强壮的,strong,elementary,"社交,日常社交,单词",2026-01-25
KB00208,社交,日常社交,单词,弱的,weak,elementary,"社交,日常社交,单词",2026-01-25
KB00209,社交,日常社交,单词,快的,fast,elementary,"社交,日常社交,单词",2026-01-25
KB00210,社交,日常社交,单词,慢的,slow,elementary,"社交,日常社交,单词",2026-01-25
KB00211,社交,日常社交,单词,容易的,easy,elementary,"社交,日常社交,单词",2026-01-25
KB00212,社交,日常社交,单词,困难的,difficult,elementary,"社交,日常社交,单词",2026-01-25
KB00213,社交,日常社交,单词,困难的,hard,elementary,"社交,日常社交,单词",2026-01-25
KB00214,社交,日常社交,单词,简单的,simple,elementary,"社交,日常社交,单词",2026-01-25
KB00215,社交,日常社交,单词,重要的,important,elementary,"社交,日常社交,单词",2026-01-25
KB00216,社交,日常社交,单词,必要的,necessary,elementary,"社交,日常社交,单词",2026-01-25
KB00217,社交,日常社交,单词,可能的,possible,elementary,"社交,日常社交,单词",2026-01-25
KB00218,社交,日常社交,单词,不可能的,impossible,elementary,"社交,日常社交,单词",2026-01-25
KB00219,社交,日常社交,单词,对的,right,elementary,"社交,日常社交,单词",2026-01-25
KB00220,社交,日常社交,单词,错的,wrong,elementary,"社交,日常社交,单词",2026-01-25
KB00221,旅行,紧急情况,单词,帮助,help,elementary,"旅行,紧急情况,单词",2026-01-25
KB00222,旅行,紧急情况,单词,有帮助的,helpful,elementary,"旅行,紧急情况,单词",2026-01-25
KB00223,社交,日常社交,单词,善良的,kind,elementary,"社交,日常社交,单词",2026-01-25
KB00224,社交,日常社交,单词,友好的,friendly,elementary,"社交,日常社交,单词",2026-01-25
KB00225,社交,日常社交,单词,有礼貌的,polite,elementary,"社交,日常社交,单词",2026-01-25
KB00226,社交,日常社交,单词,粗鲁的,rude,elementary,"社交,日常社交,单词",2026-01-25
KB00227,社交,日常社交,单词,安静的,quiet,elementary,"社交,日常社交,单词",2026-01-25
KB00228,社交,日常社交,单词,吵闹的,noisy,elementary,"社交,日常社交,单词",2026-01-25
KB00229,生活,家居生活,单词,干净的,clean,elementary,"生活,家居生活,单词",2026-01-25
KB00230,生活,家居生活,单词,脏的,dirty,elementary,"生活,家居生活,单词",2026-01-25
KB00231,社交,日常社交,单词,复杂的,sophisticated,intermediate,"社交,日常社交,单词",2026-01-25
KB00232,工作,商务会议,单词,全面的,comprehensive,intermediate,"工作,商务会议,单词",2026-01-25
KB00233,工作,商务会议,单词,详尽的,elaborate,intermediate,"工作,商务会议,单词",2026-01-25
KB00234,工作,商务会议,单词,重要的,significant,intermediate,"工作,商务会议,单词",2026-01-25
KB00235,工作,商务会议,单词,相当大的,considerable,intermediate,"工作,商务会议,单词",2026-01-25
KB00236,工作,商务会议,单词,大量的,substantial,intermediate,"工作,商务会议,单词",2026-01-25
KB00237,工作,商务会议,单词,足够的,adequate,intermediate,"工作,商务会议,单词",2026-01-25
KB00238,工作,商务会议,单词,充足的,sufficient,intermediate,"工作,商务会议,单词",2026-01-25
KB00239,工作,商务会议,单词,合适的,appropriate,intermediate,"工作,商务会议,单词",2026-01-25
KB00240,生活,家居生活,单词,适合的,suitable,intermediate,"生活,家居生活,单词",2026-01-25
KB00241,工作,商务会议,单词,职业,career,intermediate,"工作,商务会议,单词",2026-01-25
KB00242,工作,商务会议,单词,职业,profession,intermediate,"工作,商务会议,单词",2026-01-25
KB00243,工作,商务会议,单词,职业,occupation,intermediate,"工作,商务会议,单词",2026-01-25
KB00244,工作,商务会议,单词,同事,colleague,intermediate,"工作,商务会议,单词",2026-01-25
KB00245,工作,商务会议,单词,老板,boss,intermediate,"工作,商务会议,单词",2026-01-25
KB00246,工作,商务会议,单词,员工,employee,intermediate,"工作,商务会议,单词",2026-01-25
KB00247,工作,商务会议,单词,会议,meeting,intermediate,"工作,商务会议,单词",2026-01-25
KB00248,工作,项目管理,单词,项目,project,intermediate,"工作,项目管理,单词",2026-01-25
KB00249,工作,项目管理,单词,截止日期,deadline,intermediate,"工作,项目管理,单词",2026-01-25
KB00250,工作,商务会议,单词,时间表,schedule,intermediate,"工作,商务会议,单词",2026-01-25
KB00251,学习,学校课程,单词,教育,education,intermediate,"学习,学校课程,单词",2026-01-25
KB00252,学习,学校课程,单词,大学,university,intermediate,"学习,学校课程,单词",2026-01-25
KB00253,学习,学校课程,单词,学院,college,intermediate,"学习,学校课程,单词",2026-01-25
KB00254,学习,考试准备,单词,学位,degree,intermediate,"学习,考试准备,单词",2026-01-25
KB00255,学习,学校课程,单词,课程,course,intermediate,"学习,学校课程,单词",2026-01-25
